rams_presto_usage_temp.put_filedate,rams_presto_usage_temp.put_line_number,rams_presto_usage_temp.put_farecard,rams_presto_usage_temp.put_servdate,rams_presto_usage_temp.put_trans_date,rams_presto_usage_temp.put_trans_time,rams_presto_usage_temp.put_dtype,rams_presto_usage_temp.put_device,rams_presto_usage_temp.put_presto_loc,rams_presto_usage_temp.put_location,rams_presto_usage_temp.put_ttime,rams_presto_usage_temp.put_ride_count,rams_presto_usage_temp.put_loyalty,rams_presto_usage_temp.put_deducted_fare,rams_presto_usage_temp.put_xfer_credit,rams_presto_usage_temp.put_xfer_company,rams_presto_usage_temp.put_underpayment,rams_presto_usage_temp.put_vehicle_id,rams_presto_usage_temp.put_tripnumber,rams_presto_usage_temp.put_uniclass,rams_presto_usage_temp.put_go_trip,rams_presto_usage_temp.put_trans_id,rams_presto_usage_temp.put_route_no,rams_presto_usage_temp.put_epurse_bal_old,rams_presto_usage_temp.put_epurse_bal_new,rams_presto_usage_temp.put_card_tsn,rams_presto_usage_temp.put_dev_tsn,rams_presto_usage_temp.put_logical,rams_presto_usage_temp.put_xfer_device,rams_presto_usage_temp.put_xfer_regulation
20170101,40492,150192,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,18:57:00,FTP,13313E,12,161,18:57:00,1,0,5.30000019073,0,0,5.59999990463,0,0,0,NULL,2930274035,NULL,35.3699989319,30.0699996948,636,959,FTP_00012,NULL,0
20170102,18537,110257,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,12:22:00,FTP,130002,43,131,12:22:00,1,0,5.30000019073,0,0,3.34999990463,0,0,0,NULL,2930432647,NULL,46.6100006104,41.3100013733,3324,3916,FTP_1127,NULL,0
20170102,28110,478273,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,14:26:00,FTP,130015,55,021,14:26:00,1,0,5.30000019073,0,0,11.8999996185,0,0,0,NULL,2930457315,NULL,7.36999988556,2.06999993324,93,630,FTP_00534,NULL,0
20170103,6222,146514,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,12:42:00,FTP,130052,55,021,12:42:00,1,0,5.30000019073,0,0,11.8999996185,0,0,0,NULL,2930660694,NULL,38.7200012207,33.4199981689,1563,114,FTP_00479,NULL,0
20170103,17376,8463,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,19:44:00,FTP,130069,22,022,19:44:00,1,0,5.30000019073,0,0,6.80000019073,0,0,0,NULL,2930553126,NULL,9.5,4.19999980927,2931,3051,FTP_01105,NULL,0
20170103,21864,4400142,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,07:04:00,FTP,132FE3,47,911,07:04:00,1,0,5.30000019073,0,1,3.04999995232,0,0,0,NULL,2930630989,NULL,85.1200027466,79.8199996948,757,2236,FTP_00248,130063,0
20170103,22202,489034,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,20:44:00,FTP,13299C,16,061,20:44:00,1,0,5.30000019073,0,0,4.5,0,0,0,NULL,2930809195,NULL,5.84999990463,0.550000011921,1105,1496,FTP_10602,NULL,0
20170103,22463,4015101,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,14:28:00,FTP,13008D,25,181,14:28:00,1,0,5.30000019073,0,0,6.80000019073,0,0,0,NULL,2930693896,NULL,20.0,14.6999998093,4,2630,FTP_1113,NULL,0
20170103,22598,3128805,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,19:14:00,FTP,1329BA,12,161,19:14:00,1,0,5.30000019073,0,1,5.59999990463,0,0,4,NULL,2930765559,NULL,13.0900001526,7.78999996185,3436,244,FTP_1081,1329D3,0
20170103,24287,4003374,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,15:07:00,FTP,130018,55,021,15:07:00,1,0,5.30000019073,0,0,11.8999996185,0,0,0,NULL,2930694378,NULL,41.0,35.7000007629,5,686,FTP_00535,NULL,0
20170103,26871,4212920,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,14:02:00,DCS,1117317,2385,18,14:02:00,1,0,5.30000019073,0,0,0.0,536,2793337,4,47361-5,2930801957,47,8.01000022888,2.71000003815,93,2601,DCS_01419,NULL,0
20170103,27836,2169432,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,08:18:00,FTP,132FEC,25,181,08:18:00,1,0,5.30000019073,0,0,6.80000019073,0,0,4,NULL,2930631193,NULL,8.43999958038,3.1400001049,744,3977,FTP_1107,NULL,0
20170103,28027,4293273,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,21:09:00,FTP,130018,55,021,21:09:00,1,0,5.30000019073,0,0,11.8999996185,0,0,0,NULL,2930798834,NULL,51.0800018311,45.7799987793,116,870,FTP_00535,NULL,0
20170103,28994,218200,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,05:13:00,FTP,132A8C,11,331,05:13:00,1,6,5.30000019073,0,0,8.25,0,0,0,NULL,2930623589,NULL,36.5800018311,31.2800006866,4064,2546,FTP_10375,NULL,0
20170103,29781,2158059,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,15:58:00,FTP,132FB2,50,091,15:58:00,1,0,5.30000019073,0,0,3.20000004768,0,0,0,NULL,2930727793,NULL,22.6800003052,17.3799991608,527,626,FTP_00011,NULL,0
20170103,29974,3263300,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,07:15:00,FTP,13311D,33,311,07:15:00,1,0,5.30000019073,0,0,9.75,0,0,0,NULL,2930575298,NULL,25.9699993134,20.6700000763,1095,2939,FTP_10267,NULL,0
20170103,34164,4087746,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,13:29:00,FTP,1300BF,48,111,13:29:00,1,0,5.30000019073,0,0,5.15000009537,0,0,2,NULL,2930664532,NULL,28.8400001526,23.5400009155,82,3844,FTP_1134,NULL,0
20170103,34325,163545,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,21:43:00,FTP,13299C,16,061,21:43:00,1,0,5.30000019073,0,0,4.5,0,0,0,NULL,2930808942,NULL,14.8599996567,9.56000041962,1827,1511,FTP_10602,NULL,0
20170103,35015,4254856,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,17:37:00,FTP,130018,55,021,17:37:00,1,0,5.30000019073,0,0,11.8999996185,0,0,0,NULL,2930733415,NULL,81.5100021362,76.2099990845,54,772,FTP_00535,NULL,0
20170103,35679,3865363,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,10:13:00,FTP,13306E,66,698,10:13:00,1,0,5.30000019073,0,0,8.75,0,0,0,NULL,2930623839,NULL,58.9700012207,53.6699981689,391,3771,FTP_00353,NULL,0
20170103,38322,124535,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,10:46:00,FTP,130055,32,033,10:46:00,1,0,5.30000019073,0,0,5.94999980927,0,0,0,NULL,2930629911,NULL,39.4300003052,34.1300010681,2218,3655,FTP_1117,NULL,0
20170103,38381,3978909,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,21:36:00,FTP,130018,55,021,21:36:00,1,0,5.30000019073,0,0,11.8999996185,0,0,0,NULL,2930806159,NULL,22.3400001526,17.0400009155,75,882,FTP_00535,NULL,0
20170103,39834,3590366,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,12:24:00,FTP,132FFE,3,171,12:24:00,1,0,5.30000019073,0,0,6.34999990463,0,0,0,NULL,2930658823,NULL,59.3800010681,54.0800018311,1025,2179,FTP_1059,NULL,0
20170103,40514,3860013,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,07:37:00,FTP,132F29,20,123,07:37:00,1,0,5.30000019073,0,0,2.70000004768,0,0,0,NULL,2930625024,NULL,6.57999992371,1.27999997139,601,2320,FTP_00412,NULL,0
20170103,40609,3890510,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,18:36:00,FTP,132F8C,55,021,18:36:00,1,0,5.30000019073,0,0,11.8999996185,0,0,0,NULL,2930762710,NULL,12.2399997711,6.94000005722,25,680,FTP_00323,NULL,0
20170103,41879,4397645,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,08:41:00,FTP,132FD2,48,111,08:41:00,1,0,5.30000019073,0,0,5.15000009537,0,0,0,NULL,2930617314,NULL,121.029998779,115.730003357,585,3332,FTP_1140,NULL,0
20170104,19,3808056,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,14:28:00,DCS,1116839,421,33,14:28:00,1,0,5.30000019073,0,0,3.84999990463,455,2792194,0,31492-4,2930729661,31,28.3199996948,23.0200004578,686,3854,DCS_01125,NULL,0
20170104,34,3820029,2016-12-29 00:00:00.0,2016-12-29 00:00:00.0,16:31:00,DCS,1116906,254,32,16:31:00,1,0,5.30000019073,0,3,2.54999995232,528,2782722,0,36550-2,2929432624,36,32.0999984741,26.7999992371,438,992,DCS_01248,1307210,0
20170104,41,3819993,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,08:45:00,DCS,1116883,252,02,08:45:00,1,0,5.30000019073,0,0,3.90000009537,454,2791105,0,21231-5,2930411138,21,58.9900016785,53.6899986267,1246,2924,DCS_01124,NULL,0
20170104,59,3820029,2016-12-29 00:00:00.0,2016-12-29 00:00:00.0,21:30:00,DCS,1117552,211,05,21:30:00,1,0,5.30000019073,0,0,2.54999995232,526,2782786,0,36791-2,2929392299,36,8.5,3.20000004768,444,2713,DCS_01247,NULL,0
20170104,60,3820029,2016-12-29 00:00:00.0,2016-12-29 00:00:00.0,16:50:00,DCS,1117058,219,05,16:50:00,1,0,5.30000019073,0,3,5.15000009537,440,2784930,0,92591-2,2929407840,92,24.25,18.9500007629,440,756,DCS_03010,1307210,0
20170104,163,3740809,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,16:03:00,FTP,130010,55,021,16:03:00,1,0,5.30000019073,0,0,11.8999996185,0,0,0,NULL,2929799031,NULL,25.9500007629,20.6499996185,344,3643,FTP_00480,NULL,0
20170104,229,3819486,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,18:59:00,DCS,1122491,2719,39,18:59:00,1,0,5.30000019073,0,0,6.05000019073,990,2792008,0,29740-4,2930299419,29,7.61999988556,2.31999993324,145,3775,DCS_01571,NULL,0
20170104,284,3818737,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,17:35:00,DCS,1117655,2347,27,17:35:00,1,0,5.30000019073,0,0,9.85000038147,920,2791735,0,25710-5,2930510341,25,30.0599994659,24.7600002289,1258,3483,DCS_01352,NULL,0
20170104,285,3818737,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,17:36:00,DCS,1117725,332,209,17:36:00,1,0,5.30000019073,0,6,9.85000038147,905,2781690,0,25643-4,2930336176,25,45.2099990845,39.9099998474,1256,401,DCS_01337,1307450,0
20170104,298,3820616,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,09:58:00,DCS,1122548,3408,20,09:58:00,1,0,5.30000019073,0,6,2.54999995232,590,2783210,3,47320-4,2930273430,47,9.98999977112,4.69000005722,478,1494,DCS_01648,1306995,0
20170104,303,3810016,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,16:03:00,FTP,1300EC,50,091,16:03:00,1,0,5.30000019073,0,0,3.20000004768,0,0,0,NULL,2930474241,NULL,42.2799987793,36.9799995422,30,3371,FTP_10639,NULL,0
20170104,376,3809980,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,13:54:00,FTP,133053,47,911,13:54:00,1,0,5.30000019073,0,0,3.04999995232,0,0,3,NULL,2930458727,NULL,11.0200004578,5.71999979019,41,3593,FTP_00251,NULL,0
20170104,419,3810399,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,16:16:00,FTP,1329E9,43,131,16:16:00,1,9,5.30000019073,0,1,3.34999990463,0,0,0,NULL,2929815663,NULL,259.940002441,254.63999939,1246,2254,FTP_1124,130058,0
20170104,515,3812355,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,17:05:00,DCS,1117400,324,72,17:05:00,1,0,5.30000019073,0,0,3.04999995232,457,2794615,0,71640-4,2930327480,71,8.61999988556,3.31999993324,434,32,DCS_01127,NULL,0
20170104,524,3812369,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,07:50:00,FTP,13006E,40,731,07:50:00,1,0,5.30000019073,0,0,3.65000009537,0,0,0,NULL,2929584005,NULL,5.5,0.20000000298,160,2942,FTP_00039,NULL,0
20170104,610,3819445,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,11:48:00,DCS,1122540,332,209,11:48:00,1,0,5.30000019073,0,0,1.45000004768,584,2781214,4,21380-2,2929738223,21,55.8600006104,50.5600013733,326,1514,DCS_01640,NULL,0
20170104,697,3799565,2017-01-02 00:00:00.0,2017-01-02 00:00:00.0,14:58:00,DCS,1117486,3068,27,14:58:00,1,0,5.30000019073,0,0,0.0,702,2791633,0,25423-5,2930797889,25,99.3700027466,94.0699996948,214,2371,DCS_01705,NULL,0
20170104,709,3820713,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,14:07:00,FTP,1300BF,48,111,14:07:00,1,0,5.30000019073,0,6,5.15000009537,0,0,0,NULL,2930213828,NULL,72.1600036621,66.8600006104,1194,3148,FTP_1134,1248232,0
20170104,722,3810566,2016-12-30 00:00:00.0,2016-12-30 00:00:00.0,14:40:00,FTP,130012,55,021,14:40:00,1,0,5.30000019073,0,1,11.8999996185,0,0,0,NULL,2929747587,NULL,48.5999984741,43.2999992371,652,2188,FTP_00482,132EFD,0
20170104,775,3433609,2017-01-01 00:00:00.0,2017-01-01 00:00:00.0,14:29:00,DCS,1116988,252,02,14:29:00,1,0,5.30000019073,0,0,3.20000004768,306,2792185,0,31461-5,2930499422,31,31.0,25.7000007629,468,2515,DCS_02876,NULL,0
20170104,802,3810930,2016-12-31 00:00:00.0,2016-12-31 00:00:00.0,18:05:00,FTP,130012,55,021,18:05:00,1,0,5.30000019073,0,0,11.8999996185,0,0,2,NULL,2930271391,NULL,17.6599998474,12.3599996567,32,4086,FTP_00482,NULL,0
